Nome do Host,Endereco IP,Endereco IP de Resposta,Contagem de Sucessos,Contagem de Falhas,Status do Ultimo Ping,Descricao,Ultimo Sucesso Em,Ultima Falha Em,Tempo Minimo de Ping,Tempo Maximo de Ping,Ordem,Desativado
189-112-010-201.static.ctbctelecom.com.br,189.112.10.201,189.112.10.201,58542,1,Bem-sucedido,Link Algar,04/09/2024 11:39:18,03/09/2024 19:15:27,0.387,584.184,1,Nao
GRANGER.DCALKO2.local,192.168.0.252,192.168.0.252,58543,0,Bem-sucedido,AD principal,04/09/2024 11:39:18,,0.298,1.819,2,Nao
VOLDEMORT.DCALKO2.local,192.168.0.251,192.168.0.251,58534,9,Bem-sucedido,AD reserva,04/09/2024 11:39:18,03/09/2024 19:17:00,0.474,680.835,3,Nao
MAQ-0322.DCALKO2.local,192.168.0.45,192.168.0.45,58406,138,Bem-sucedido,Backup rigido,04/09/2024 11:39:18,04/09/2024 11:02:49,0.493,674.463,4,Nao
DUMBLEDORE,192.168.0.213,192.168.0.213,58543,0,Bem-sucedido,Servidor Oracle ,04/09/2024 11:39:18,,0.315,46.428,5,Nao
HAGRID,192.168.0.210,192.168.0.210,58542,1,Bem-sucedido,Sankhya,04/09/2024 11:39:18,03/09/2024 19:15:27,0.319,594.469,6,Nao
MAQ-0239.DCALKO2.local,192.168.0.118,192.168.0.118,58537,6,Bem-sucedido,Simjob,04/09/2024 11:39:18,03/09/2024 19:15:27,0.435,631.744,7,Nao
192.168.0.200,192.168.0.200,192.168.0.200,58533,10,Bem-sucedido,DVR Calandra 1 ,04/09/2024 11:39:18,04/09/2024 11:21:26,0.781,600.205,8,Nao
192.168.0.201,192.168.0.201,192.168.0.201,58534,9,Bem-sucedido,DVR Calandra 2,04/09/2024 11:39:18,04/09/2024 11:21:26,0.760,55.007,9,Nao
192.168.0.205,192.168.0.205,192.168.0.205,58535,8,Bem-sucedido,DVR Calandra G1,04/09/2024 11:39:18,04/09/2024 11:21:26,0.546,41.483,10,Nao
192.168.0.206,192.168.0.206,192.168.0.206,58527,16,Bem-sucedido,DVR Calandra G2,04/09/2024 11:39:18,04/09/2024 10:36:06,0.437,681.279,11,Nao
192.168.0.212,192.168.0.212,192.168.0.212,58534,10,Bem-sucedido,DVR Portaria frente,04/09/2024 11:39:18,03/09/2024 19:17:00,0.644,681.346,12,Nao
192.168.0.7,192.168.0.7,192.168.0.7,58542,1,Bem-sucedido,DVR Portaria fundos,04/09/2024 11:39:18,02/09/2024 09:56:13,0.590,53.155,13,Nao
192.168.6.8,192.168.6.8,192.168.6.8,58533,10,Bem-sucedido,DVR Extrusora,04/09/2024 11:39:18,03/09/2024 02:00:48,0.486,63.308,14,Nao
MAQ-0239.DCALKO2.local,192.168.0.218,192.168.0.218,58535,8,Bem-sucedido,DVR Manutenção,04/09/2024 11:39:18,04/09/2024 11:21:26,0.475,73.066,15,Nao
192.168.0.219,192.168.0.219,192.168.0.219,58542,1,Bem-sucedido,DVR Perimetro Alko,04/09/2024 11:39:18,03/09/2024 19:15:27,0.450,611.410,16,Nao
192.168.0.5,192.168.0.5,192.168.0.5,58543,0,Bem-sucedido,DVR Estoque,04/09/2024 11:39:18,,0.392,47.121,17,Nao
192.168.0.208,192.168.0.208,192.168.0.208,58533,10,Bem-sucedido,DVR Rigido 1,04/09/2024 11:39:18,03/09/2024 19:17:00,0.450,680.857,18,Nao
192.168.0.209,192.168.0.209,192.168.0.209,58541,2,Bem-sucedido,DVR Rigido 2,04/09/2024 11:39:18,02/09/2024 09:56:13,0.418,52.762,19,Nao
192.168.0.216,192.168.0.216,192.168.0.216,58541,2,Bem-sucedido,DVR Rigido tigre,04/09/2024 11:39:18,02/09/2024 09:56:13,0.435,58.704,20,Nao
192.168.0.217,192.168.0.217,192.168.0.217,58525,18,Bem-sucedido,DVR PCP - Calandra,04/09/2024 11:39:18,04/09/2024 11:21:26,0.735,680.858,21,Nao
192.168.0.202,192.168.0.202,192.168.0.202,58496,47,Bem-sucedido,DVR Tecelagem 1 ,04/09/2024 11:39:18,04/09/2024 10:25:59,0.401,862.594,22,Nao
192.168.0.10,192.168.0.10,192.168.0.10,58542,1,Bem-sucedido,DVR Tecelagem 2 ,04/09/2024 11:39:18,02/09/2024 08:50:41,0.506,82.457,23,Nao
192.168.6.5,192.168.6.5,192.168.6.5,58537,6,Bem-sucedido,DVR TI,04/09/2024 11:39:18,03/09/2024 02:00:32,0.350,98.818,24,Nao
