Nome do Host,Endereco IP,Endereco IP de Resposta,Contagem de Sucessos,Contagem de Falhas,Status do Ultimo Ping,Descricao,Ultimo Sucesso Em,Ultima Falha Em,Tempo Minimo de Ping,Tempo Maximo de Ping,Ordem,Desativado
192.168.0.200,192.168.0.200,192.168.0.200,16,0,Bem-sucedido,,22/07/2024 13:59:14,,2.770,12.480,1,Nao
192.168.0.201,192.168.0.201,192.168.0.201,16,0,Bem-sucedido,,22/07/2024 13:59:14,,2.741,10.882,2,Nao
192.168.0.205,192.168.0.205,192.168.0.205,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.668,11.706,3,Nao
192.168.0.206,192.168.0.206,192.168.0.206,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.512,9.203,4,Nao
192.168.0.4,192.168.0.4,192.168.0.4,16,0,Bem-sucedido,,22/07/2024 13:59:14,,0.941,9.289,5,Nao
192.168.6.10,192.168.6.10,192.168.6.10,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.729,10.578,6,Nao
MASTERSIS.DCALKO2.local,192.168.0.215,192.168.0.215,16,0,Bem-sucedido,,22/07/2024 13:59:14,,5.050,15.376,7,Nao
192.168.6.8,192.168.6.8,192.168.6.8,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.417,12.299,8,Nao
MAQ-0239.DCALKO2.local,192.168.0.218,192.168.0.218,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.769,11.651,9,Nao
192.168.0.219,192.168.0.219,192.168.0.219,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.629,10.849,10,Nao
192.168.0.212,192.168.0.212,192.168.0.212,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.815,12.399,11,Nao
192.168.0.7,192.168.0.7,192.168.0.7,16,0,Bem-sucedido,,22/07/2024 13:59:14,,2.104,11.808,12,Nao
192.168.0.5,192.168.0.5,192.168.0.5,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.643,12.159,13,Nao
192.168.0.208,192.168.0.208,192.168.0.208,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.700,12.004,14,Nao
192.168.0.209,192.168.0.209,192.168.0.209,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.613,13.623,15,Nao
192.168.0.216,192.168.0.216,192.168.0.216,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.503,11.998,16,Nao
192.168.0.217,192.168.0.217,192.168.0.217,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.761,11.851,17,Nao
192.168.0.202,192.168.0.202,192.168.0.202,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.298,10.669,18,Nao
192.168.0.10,192.168.0.10,192.168.0.10,16,0,Bem-sucedido,,22/07/2024 13:59:14,,2.225,12.090,19,Nao
192.168.6.5,192.168.6.5,192.168.6.5,14,2,Bem-sucedido,,22/07/2024 13:59:14,22/07/2024 13:56:52,2.586,16.054,20,Nao
GRANGER.DCALKO2.local,192.168.0.252,192.168.0.252,16,0,Bem-sucedido,,22/07/2024 13:59:14,,0.908,10.709,21,Nao
VOLDEMORT.DCALKO2.local,192.168.0.251,192.168.0.251,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.083,11.201,22,Nao
MAQ-0322.DCALKO2.local,192.168.0.45,192.168.0.45,16,0,Bem-sucedido,,22/07/2024 13:59:14,,0.988,10.094,23,Nao
DUMBLEDORE,192.168.0.213,192.168.0.213,16,0,Bem-sucedido,,22/07/2024 13:59:14,,1.210,10.097,24,Nao
HAGRID,192.168.0.210,192.168.0.210,16,0,Bem-sucedido,,22/07/2024 13:59:14,,0.896,11.286,25,Nao
